,campaign_id,ad_type,date,spend,actions,audience,state,hair_color
88,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-03-19,17,"[{""source2"": 83, ""action"": ""views""}, {""source2"": 1, ""action"": ""views""}, {""source2"": 36, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 96}]",UT_black_21-26,UT,black
90,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-04-10,692,"[{""source2"": 25, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 21}, {""source2"": 82, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 24}]",UT_black_21-26,UT,black
92,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-05-02,408,"[{""source2"": 20, ""action"": ""views""}, {""action"": ""views"", ""source1"": 17}, {""action"": ""conversions"", ""source1"": 37}, {""action"": ""conversions"", ""source1"": 66}, {""source2"": 90, ""action"": ""conversions""}]",UT_black_21-26,UT,black
94,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-05-05,0,"[{""source2"": 92, ""action"": ""conversions""}]",UT_black_21-26,UT,black
96,c3905d5d-df51-41d1-a4f9-07ce187698c2,photo,2017-04-14,523,[],SC_orange_48-53,SC,orange
98,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-02-26,407,"[{""source2"": 18, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 45}]",SC_orange_48-53,SC,orange
100,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-02-27,767,"[{""source2"": 65, ""action"": ""views""}, {""action"": ""views"", ""source1"": 75}, {""source2"": 58, ""action"": ""views""}, {""source2"": 71, ""action"": ""views""}]",SC_orange_48-53,SC,orange
102,c3905d5d-df51-41d1-a4f9-07ce187698c2,photo,2017-05-09,824,[],SC_orange_48-53,SC,orange
104,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-05-07,0,[],SC_orange_48-53,SC,orange
106,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-02-13,945,"[{""source2"": 31, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 64}, {""source2"": 42, ""action"": ""views""}, {""source2"": 75, ""action"": ""conversions""}]",SC_orange_48-53,SC,orange
108,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-02-28,970,"[{""source2"": 14, ""action"": ""views""}, {""source2"": 50, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 21}]",SC_orange_48-53,SC,orange
110,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-04-11,684,"[{""source2"": 12, ""action"": ""conversions""}]",SC_orange_48-53,SC,orange
112,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-03-21,0,"[{""source2"": 59, ""action"": ""views""}]",SC_orange_48-53,SC,orange
114,c3905d5d-df51-41d1-a4f9-07ce187698c2,video,2017-02-18,65,"[{""action"": ""views"", ""source1"": 43}, {""source2"": 72, ""action"": ""views""}]",SC_orange_48-53,SC,orange
116,672c7b8a-623d-429c-9eb8-1069e36af790,video,2017-03-09,328,"[{""source2"": 39, ""action"": ""views""}, {""action"": ""views"", ""source1"": 31}, {""action"": ""views"", ""source1"": 14}]",AR_pink_54-59,AR,pink
118,672c7b8a-623d-429c-9eb8-1069e36af790,photo,2017-02-20,517,[],AR_pink_54-59,AR,pink
120,672c7b8a-623d-429c-9eb8-1069e36af790,video,2017-02-19,653,"[{""source2"": 75, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 73}, {""source2"": 28, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 87}]",AR_pink_54-59,AR,pink
122,672c7b8a-623d-429c-9eb8-1069e36af790,photo,2017-05-07,218,"[{""source2"": 94, ""action"": ""views""}, {""action"": ""views"", ""source1"": 22}]",AR_pink_54-59,AR,pink
124,672c7b8a-623d-429c-9eb8-1069e36af790,video,2017-03-26,470,[],AR_pink_54-59,AR,pink
126,672c7b8a-623d-429c-9eb8-1069e36af790,photo,2017-05-08,839,"[{""action"": ""conversions"", ""source1"": 82}, {""action"": ""views"", ""source1"": 4}]",AR_pink_54-59,AR,pink
128,672c7b8a-623d-429c-9eb8-1069e36af790,photo,2017-03-06,0,"[{""source2"": 40, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 27}, {""action"": ""conversions"", ""source1"": 48}, {""source2"": 48, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 50}]",AR_pink_54-59,AR,pink
130,672c7b8a-623d-429c-9eb8-1069e36af790,photo,2017-05-15,889,[],AR_pink_54-59,AR,pink
132,672c7b8a-623d-429c-9eb8-1069e36af790,video,2017-04-26,178,"[{""action"": ""conversions"", ""source1"": 6}, {""action"": ""conversions"", ""source1"": 56}]",AR_pink_54-59,AR,pink
134,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-05-10,7,"[{""source2"": 27, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 2}]",DC_brown_60-65,DC,brown
136,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-05-15,463,"[{""action"": ""views"", ""source1"": 37}]",DC_brown_60-65,DC,brown
138,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-04-30,978,"[{""source2"": 76, ""action"": ""views""}, {""source2"": 34, ""action"": ""conversions""}, {""source2"": 76, ""action"": ""views""}, {""source2"": 47, ""action"": ""conversions""}, {""source2"": 78, ""action"": ""views""}]",DC_brown_60-65,DC,brown
140,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-04-02,459,[],DC_brown_60-65,DC,brown
142,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-02-25,154,"[{""source2"": 86, ""action"": ""views""}, {""source2"": 12, ""action"": ""conversions""}]",DC_brown_60-65,DC,brown
144,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-04-12,29,"[{""source2"": 71, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 33}, {""source2"": 30, ""action"": ""views""}]",DC_brown_60-65,DC,brown
146,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-05-12,631,"[{""source2"": 87, ""action"": ""views""}]",DC_brown_60-65,DC,brown
148,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-04-22,854,"[{""source2"": 65, ""action"": ""conversions""}, {""source2"": 60, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 55}]",DC_brown_60-65,DC,brown
150,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-03-12,891,"[{""source2"": 26, ""action"": ""conversions""}, {""source2"": 98, ""action"": ""views""}, {""action"": ""views"", ""source1"": 46}, {""source2"": 66, ""action"": ""conversions""}]",DC_brown_60-65,DC,brown
152,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-04-14,187,"[{""source2"": 64, ""action"": ""conversions""}, {""source2"": 88, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 99}]",DC_brown_60-65,DC,brown
154,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-02-10,687,"[{""source2"": 35, ""action"": ""conversions""}, {""source2"": 57, ""action"": ""views""}]",DC_brown_60-65,DC,brown
156,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-02-19,952,"[{""action"": ""views"", ""source1"": 22}, {""source2"": 71, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 89}, {""action"": ""views"", ""source1"": 73}, {""source2"": 91, ""action"": ""views""}]",DC_brown_60-65,DC,brown
158,06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-05-15,728,"[{""source2"": 18, ""action"": ""conversions""}, {""source2"": 45, ""action"": ""conversions""}]",DC_brown_60-65,DC,brown
160,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-03-31,0,"[{""source2"": 40, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 70}, {""source2"": 85, ""action"": ""conversions""}]",DC_brown_60-65,DC,brown
162,06dd6c6e-9a86-4035-846e-0462e6ab00c5,photo,2017-04-20,515,"[{""action"": ""views"", ""source1"": 25}, {""action"": ""conversions"", ""source1"": 63}]",DC_brown_60-65,DC,brown
164,eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,video,2017-03-15,319,"[{""action"": ""views"", ""source1"": 46}, {""source2"": 48, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 28}, {""source2"": 72, ""action"": ""views""}, {""action"": ""views"", ""source1"": 32}]",IA_green_39-44,IA,green
166,eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,video,2017-02-13,334,"[{""source2"": 25, ""action"": ""views""}, {""source2"": 19, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 83}, {""source2"": 60, ""action"": ""conversions""}, {""source2"": 6, ""action"": ""conversions""}]",IA_green_39-44,IA,green
168,eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,video,2017-04-21,859,"[{""source2"": 25, ""action"": ""views""}, {""action"": ""views"", ""source1"": 2}]",IA_green_39-44,IA,green
170,eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,photo,2017-05-16,548,"[{""action"": ""views"", ""source1"": 16}, {""source2"": 3, ""action"": ""views""}, {""source2"": 94, ""action"": ""views""}]",IA_green_39-44,IA,green
172,eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,video,2017-03-16,0,"[{""action"": ""views"", ""source1"": 51}]",IA_green_39-44,IA,green
174,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-02-19,161,"[{""source2"": 80, ""action"": ""conversions""}, {""source2"": 66, ""action"": ""conversions""}]",MD_brown_18-23,MD,brown
176,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-04-20,304,[],MD_brown_18-23,MD,brown
178,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-03-23,145,"[{""source2"": 41, ""action"": ""views""}, {""source2"": 85, ""action"": ""conversions""}, {""source2"": 12, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 30}, {""source2"": 22, ""action"": ""views""}]",MD_brown_18-23,MD,brown
180,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-04-16,358,"[{""source2"": 25, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 16}]",MD_brown_18-23,MD,brown
182,ad62978f-487c-47b2-9333-efa4772dfa5c,photo,2017-05-10,904,[],MD_brown_18-23,MD,brown
184,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-03-24,601,"[{""action"": ""views"", ""source1"": 42}, {""action"": ""conversions"", ""source1"": 53}, {""action"": ""conversions"", ""source1"": 65}]",MD_brown_18-23,MD,brown
186,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-05-02,877,[],MD_brown_18-23,MD,brown
188,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-04-15,445,"[{""action"": ""conversions"", ""source1"": 47}, {""source2"": 47, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 30}]",MD_brown_18-23,MD,brown
190,ad62978f-487c-47b2-9333-efa4772dfa5c,photo,2017-04-05,301,"[{""action"": ""conversions"", ""source1"": 34}, {""source2"": 63, ""action"": ""conversions""}]",MD_brown_18-23,MD,brown
192,ad62978f-487c-47b2-9333-efa4772dfa5c,photo,2017-03-27,992,"[{""action"": ""conversions"", ""source1"": 20}]",MD_brown_18-23,MD,brown
194,ad62978f-487c-47b2-9333-efa4772dfa5c,photo,2017-03-16,783,"[{""action"": ""views"", ""source1"": 10}, {""source2"": 67, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 92}, {""source2"": 94, ""action"": ""conversions""}]",MD_brown_18-23,MD,brown
196,ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-04-24,167,"[{""action"": ""views"", ""source1"": 6}, {""action"": ""conversions"", ""source1"": 82}]",MD_brown_18-23,MD,brown
198,ad62978f-487c-47b2-9333-efa4772dfa5c,photo,2017-03-21,319,"[{""source2"": 51, ""action"": ""conversions""}, {""source2"": 55, ""action"": ""views""}, {""source2"": 1, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 62}, {""source2"": 14, ""action"": ""conversions""}]",MD_brown_18-23,MD,brown
200,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,video,2017-05-14,276,"[{""action"": ""views"", ""source1"": 24}, {""source2"": 71, ""action"": ""views""}, {""source2"": 74, ""action"": ""views""}, {""source2"": 88, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 24}]",SC_brown_27-32,SC,brown
202,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-02-25,622,"[{""source2"": 18, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 60}, {""action"": ""conversions"", ""source1"": 10}, {""action"": ""conversions"", ""source1"": 48}]",SC_brown_27-32,SC,brown
204,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-05-18,533,"[{""source2"": 94, ""action"": ""views""}, {""source2"": 28, ""action"": ""conversions""}, {""source2"": 52, ""action"": ""conversions""}]",SC_brown_27-32,SC,brown
206,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-02-12,378,"[{""action"": ""views"", ""source1"": 52}]",SC_brown_27-32,SC,brown
208,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,video,2017-03-16,535,"[{""source2"": 59, ""action"": ""views""}]",SC_brown_27-32,SC,brown
210,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,video,2017-04-10,104,"[{""source2"": 57, ""action"": ""views""}, {""source2"": 93, ""action"": ""conversions""}, {""source2"": 73, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 84}]",SC_brown_27-32,SC,brown
212,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-05-13,542,"[{""action"": ""views"", ""source1"": 22}]",SC_brown_27-32,SC,brown
214,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-04-14,199,"[{""source2"": 49, ""action"": ""views""}, {""source2"": 29, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 20}, {""source2"": 34, ""action"": ""conversions""}]",SC_brown_27-32,SC,brown
216,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-02-27,464,"[{""action"": ""conversions"", ""source1"": 21}, {""source2"": 56, ""action"": ""views""}, {""source2"": 34, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 6}, {""source2"": 90, ""action"": ""conversions""}]",SC_brown_27-32,SC,brown
218,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-03-04,451,"[{""source2"": 25, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 45}]",SC_brown_27-32,SC,brown
220,2276e92a-651b-41c8-8ad1-d3a11e6f80c9,photo,2017-02-15,510,"[{""source2"": 63, ""action"": ""views""}, {""source2"": 60, ""action"": ""views""}]",SC_brown_27-32,SC,brown
222,35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-05-05,0,"[{""action"": ""conversions"", ""source1"": 92}, {""source2"": 17, ""action"": ""views""}]",FL_orange_45-50,FL,orange
224,35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-05-18,240,"[{""action"": ""conversions"", ""source1"": 94}, {""action"": ""views"", ""source1"": 76}]",FL_orange_45-50,FL,orange
226,35371f72-8d8f-4457-b716-d1b609ac9620,video,2017-04-22,897,"[{""action"": ""views"", ""source1"": 98}]",FL_orange_45-50,FL,orange
228,35371f72-8d8f-4457-b716-d1b609ac9620,video,2017-02-26,704,"[{""action"": ""views"", ""source1"": 41}, {""action"": ""conversions"", ""source1"": 32}]",FL_orange_45-50,FL,orange
230,35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-03-20,769,"[{""source2"": 47, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 81}]",FL_orange_45-50,FL,orange
232,35371f72-8d8f-4457-b716-d1b609ac9620,video,2017-03-01,254,"[{""source2"": 24, ""action"": ""conversions""}, {""source2"": 38, ""action"": ""views""}, {""source2"": 67, ""action"": ""views""}]",FL_orange_45-50,FL,orange
234,35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-05-06,651,"[{""source2"": 62, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 79}, {""action"": ""views"", ""source1"": 36}, {""action"": ""conversions"", ""source1"": 20}, {""source2"": 60, ""action"": ""views""}]",FL_orange_45-50,FL,orange
236,35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-03-01,264,"[{""source2"": 89, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 15}, {""action"": ""conversions"", ""source1"": 75}, {""action"": ""views"", ""source1"": 43}]",FL_orange_45-50,FL,orange
238,35371f72-8d8f-4457-b716-d1b609ac9620,video,2017-05-12,306,"[{""source2"": 97, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 79}, {""source2"": 22, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 34}]",FL_orange_45-50,FL,orange
240,dad810c7-5bc4-4dd2-a063-9f13becde864,video,2017-04-12,556,"[{""action"": ""views"", ""source1"": 11}, {""action"": ""conversions"", ""source1"": 59}, {""action"": ""conversions"", ""source1"": 25}, {""action"": ""views"", ""source1"": 49}]",SC_green_33-38,SC,green
242,dad810c7-5bc4-4dd2-a063-9f13becde864,video,2017-02-18,468,"[{""source2"": 74, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 43}, {""action"": ""conversions"", ""source1"": 31}, {""source2"": 93, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 92}]",SC_green_33-38,SC,green
244,dad810c7-5bc4-4dd2-a063-9f13becde864,video,2017-03-20,293,[],SC_green_33-38,SC,green
246,dad810c7-5bc4-4dd2-a063-9f13becde864,photo,2017-03-19,908,"[{""action"": ""conversions"", ""source1"": 39}, {""action"": ""views"", ""source1"": 90}, {""source2"": 19, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 19}]",SC_green_33-38,SC,green
248,dad810c7-5bc4-4dd2-a063-9f13becde864,video,2017-04-09,0,"[{""action"": ""conversions"", ""source1"": 76}, {""source2"": 12, ""action"": ""views""}]",SC_green_33-38,SC,green
